"UNIQUE_ID","PRODUCT_NAME","COMPANY","PRODUCT_TYPE","PRODUCT_CATEGORY","COST_PRICE","SELLING_PRICE","QUANTITY_DEMANDED","PROFIT","PROFIT_PERCENT","NET_PROFIT"
"1","GSK01","A Masks","A","hygiene","mask",160,200,890,40,25,35600
"2","GSK02","N hand sanitizer,350 ml","N","hygiene","sanitizer",248,400,800,152,61.2903225806452,121600
"3","GSK03","G Channa Dal, 1kG","G","foodgrains&spices","pulses(dal)",162,180,456,18,11.1111111111111,8208
"4","GSK04","I Organic Raisins,100g","I","Organic food","Dry Fruits",77.14,133,100,55.86,72.4137931034483,5586
"5","GSK05","S Body oil","S","beauty products","bodycare",494.5,593.4,111,98.9,20,10977.9
"6","GSK06","S AloeverS Gel","S","beauty products","bodycare",445.05,534.06,111,89.0099999999999,20,9880.10999999999
"7","GSK07","S edible oil,1L","S","foodgrains&spices","edible oil",270,300,360,30,11.1111111111111,10800
"8","GSK08","G Organic Flour 1kg","G","Organic food","Flour",56.84,98,52,41.16,72.4137931034483,2140.32
"9","GSK09","Z Organic Fennel,100 g","Z","Organic food","Whole Spices",56.84,98,27,41.16,72.4137931034483,1111.32
"10","GSK10","A mosquitto repellent","A","household","repellents",171,225,353,54,31.5789473684211,19062
"11","GSK11","Z Dried Cranberries,100g","Z","Packed Food","Dry Fruits",125,143.75,500,18.75,15,9375
"12","GSK12","I chocolate flavour Cornflakes, 1kg","I","Packed Food","Dry Fruits",515,592.25,188,77.25,15,14523
"13","GSK13","E disinfectant spray,250 ml","E","hygiene","disinfectant",171.76,226,454,54.24,31.5789473684211,24624.96
"14","GSK14","N hair oil,1L","N","hygiene","haircare",450,500,400,50,11.1111111111111,20000
"15","GSK15","A Body oil","A","beauty products","bodycare",516.26,619.512,119,103.252,20,12286.988
"16","GSK16","J Almonds,100g","J","Packed Food","Dry Fruits",70,80.5,544,10.5,15,5712
"17","GSK17","Z Organic Red chilly, 100 g","Z","Organic food","Whole Spices",32.48,56,22,23.52,72.4137931034483,517.44
"18","GSK18","Z Apricots,100g","Z","Packed Food","Dry Fruits",155,178.25,476,23.25,15,11067
"19","GSK19","A mosquitto coil","A","household","repellents",95,125,353,30,31.5789473684211,10590
"20","GSK20","Z Organic Walnuts,100g","Z","Packed Food","Dry Fruits",217,249.55,426,32.55,15,13866.3
"21","GSK21","G Cumin, 100 g","G","foodgrains&spices","Whole Spices",38.94,59,541,20.06,51.5151515151515,10852.46
"22","GSK22","M disinfectant spray,250 ml","M","hygiene","disinfectant",172.52,227,452,54.48,31.578947368421,24624.96
"23","GSK23","B Kajal","B","beauty products","eye-makeup",203.82,244.584,292,40.764,20,11903.088
"24","GSK24","Z Organic Hazel Nuts,100g","Z","Organic food","Dry Fruits",354.84,611.8,52,256.96,72.4157366700485,13361.92
"25","GSK25","N strawberry flavour Oats, 1kg","N","Packed Food","Dry Fruits",367,422.05,306,55.05,15,16845.3
"26","GSK26","J Organic Raisins,100g","J","Packed Food","Dry Fruits",70,80.5,544,10.5,15,5712
"27","GSK27","G Cheese  Chiplets, 200 g (8 Cubes)","G","dairy products","cheese",181,211,441,30,16.5745856353591,13230
"28","GSK28","E hand sanitizer,350 ml","E","hygiene","sanitizer",195.3,315,897,119.7,61.2903225806452,107370.9
"29","GSK29","G Organic Peanut , 1 kg","G","Organic food","cereals",162.4,280,52,117.6,72.4137931034483,6115.2
"30","GSK30","Z Organic Almonds,100g","Z","Organic food","Dry Fruits",306.12,527.8,220,221.68,72.4160459950346,48769.6
"31","GSK31","G Cardamom, 100 g","G","foodgrains&spices","Whole Spices",203.94,309,291,105.06,51.5151515151515,30572.46
"32","GSK32","T Red chilly, 100 g","T","foodgrains&spices","Whole Spices",16.5,25,575,8.5,51.5151515151515,4887.5
"33","GSK33","H Fruit Juice  Mango, 2x1.5 L Multipack","H","beverage","fruit juice",168.72,222,355,53.28,31.5789473684211,18914.4
"34","GSK34","Z Almonds,100g","Z","Packed Food","Dry Fruits",75,86.25,540,11.25,15,6075
"35","GSK35","S perfume","S","beauty products","bodycare",602,722.4,20,120.4,20,2408
"36","GSK36","B Lip balm","B","beauty products","bodycare",252.2,302.64,221,50.44,20,11147.24
"37","GSK37","T Matar Dal, 1kg","T","foodgrains&spices","pulses(dal)",72,80,536,8,11.1111111111111,4288
"38","GSK38","S Bay Leaf, 100 g","S","foodgrains&spices","Whole Spices",19.8,30,570,10.2,51.5151515151515,5814
"39","GSK39","M disinfectant spray,250 ml","M","hygiene","disinfectant",172.52,227,452,54.48,31.578947368421,24624.96
"40","GSK40","J Organic Figs,100g","J","Organic food","Dry Fruits",357.28,616,38,258.72,72.4137931034483,9831.36
"41","GSK41","T Chakki attT 1kg","T","foodgrains&spices","grains",36,49.5,568,13.5,37.5,7668
"42","GSK42","S room freshner","S","household","freshners",272.08,358,231,85.92,31.5789473684211,19847.52
"43","GSK43","G chocolate flavour Oats, 1kg","G","Packed Food","Dry Fruits",313,359.95,350,46.95,15,16432.5
"44","GSK44","G Organic Bay Leaf, 100 g","G","Organic food","Whole Spices",40.6,70,22,29.4,72.4137931034483,646.8
"45","GSK45","C facewash","C","beauty products","bodycare",253.08,303.696,245,50.616,20,12400.92
"46","GSK46","Z Organic Ginger Candies,100g","Z","Packed Food","Dry Fruits",137,157.55,490,20.55,15,10069.5
"47","GSK47","J Organic Walnuts,100g","J","Packed Food","Dry Fruits",210,241.5,432,31.5,15,13608
"48","GSK48","N rice bran oil,1L","N","foodgrains&spices","edible oil",230.4,256,395,25.6,11.1111111111111,10112
"49","GSK49","A orange lipstick","A","beauty products","lipstick",537.5,645,23,107.5,20,2472.5
"50","GSK50","Z Organic Bay Leaf, 100 g","Z","Organic food","Whole Spices",48.72,84,10,35.28,72.4137931034483,352.8
"51","GSK51","I Dates,100g","I","Packed Food","Dry Fruits",133,152.95,494,19.95,15,9855.29999999999
"52","GSK52","C Quick Washer Gel,1L","C","household","detergent",268.28,353,350,84.72,31.5789473684211,29652
"53","GSK53","S Groundnut, 1kg","S","foodgrains&spices","cereals",225,250,400,25,11.1111111111111,10000
"54","GSK54","I Organic Walnuts,100g","I","Packed Food","Dry Fruits",215,247.25,428,32.25,15,13803
"55","GSK55","I Organic Figs,100g","I","Organic food","Dry Fruits",361.34,623,22,261.66,72.4137931034483,5756.52
"56","GSK56","Z Figs,100g","Z","Packed Food","Dry Fruits",185,212.75,452,27.75,15,12543
"57","GSK57","S Coriander, 100 g","S","foodgrains&spices","Powdered Spices",19.8,30,570,10.2,51.5151515151515,5814
"58","GSK58","N orange flavour Cornflakes, 1kg","N","Packed Food","Dry Fruits",527,606.05,178,79.05,15,14070.9
"59","GSK59","Z Organic Dates,100g","Z","Organic food","Dry Fruits",273.64,471.8,22,198.16,72.416313404473,4359.52
"60","GSK60","Z Walnuts,100g","Z","Packed Food","Dry Fruits",185,212.75,452,27.75,15,12543
"61","GSK61","J Organic Figs,100g","J","Packed Food","Dry Fruits",220,253,424,33,15,13992
"62","GSK62","J Organic Walnuts,100g","J","Organic food","Dry Fruits",349.16,602,23,252.84,72.4137931034483,5815.32
"63","GSK63","G Fennel,100 g","G","foodgrains&spices","Whole Spices",32.34,49,551,16.66,51.5151515151515,9179.66
"64","GSK64","J chocolate flavour Oats, 1kg","J","Packed Food","Dry Fruits",310,356.5,352,46.5,15,16368
"65","GSK65","B 3ply mask","B","hygiene","mask",12.8,16,1080,3.2,25,3456
"66","GSK66","A disinfectant spray,250 ml","A","hygiene","disinfectant",167.2,220,450,52.8,31.5789473684211,23760
"67","GSK67","C disinfectant spray,250 ml","C","hygiene","disinfectant",169.48,223,455,53.52,31.5789473684211,24351.6
"68","GSK68","S Peanut , 1 kg","S","foodgrains&spices","cereals",135,150,480,15,11.1111111111111,7200
"69","GSK69","B perfume","B","beauty products","bodycare",602,722.4,20,120.4,20,2408
"70","GSK70","I Organic Raisins,100g","I","Packed Food","Dry Fruits",75,86.25,540,11.25,15,6075
"71","GSK71","Z Organic Soyabean 1kg","Z","Organic food","cereals",292.32,504,22,211.68,72.4137931034483,4656.96
"72","GSK72","A baby milk","A","baby product","babycare",500.8,626,100,125.2,25,12520
"73","GSK73","G Rice,1kG","G","foodgrains&spices","rice",63,66.15,644,3.15000000000001,5.00000000000001,2028.6
"74","GSK74","G Barley 1kG","G","foodgrains&spices","grains",94.5,105,516,10.5,11.1111111111111,5418
"75","GSK75","B baby diapers","B","baby product","babycare",536,670,300,134,25,40200
"76","GSK76","S brown lipstick","S","beauty products","lipstick",516,619.2,20,103.2,20,2064
"77","GSK77","G Rajma, 1kG","G","foodgrains&spices","cereals",162,180,456,18,11.1111111111111,8208
"78","GSK78","S PRO ACTIVE health drink  2x400 g Multipack","S","beverage","healthdrink",912,1200,20,288,31.5789473684211,5760
"79","GSK79","G pet food","G","pet food","pet food",450,500,200,50,11.1111111111111,10000
"80","GSK80","S orange nailpolish","S","beauty products","nailpolish",401.6,481.92,110,80.32,20,8835.2
"81","GSK81","T jowar, 1kg","T","foodgrains&spices","cereals",63,70,544,7,11.1111111111111,3808
"82","GSK82","I Organic Hazel Nuts,100g","I","Organic food","Dry Fruits",353.22,609,80,255.78,72.4137931034483,20462.4
"83","GSK83","D Masks","D","hygiene","mask",280,350,600,70,25,42000
"84","GSK84","A perfume","A","beauty products","bodycare",623.5,748.2,45,124.7,20,5611.5
"85","GSK85","G Bay Leaf, 100 g","G","foodgrains&spices","Whole Spices",25.74,39,561,13.26,51.5151515151515,7438.86
"86","GSK86","T Flour 1kg","T","foodgrains&spices","Flour",45,50,560,5,11.1111111111111,2800
"87","GSK87","A baby diapers","A","baby product","babycare",500.8,626,150,125.2,25,18780
"88","GSK88","Z Organic Cloves, 100 g","Z","Organic food","Whole Spices",97.44,168,90,70.56,72.4137931034483,6350.4
"89","GSK89","A Eyeliner","A","beauty products","eye-makeup",219.56,263.472,212,43.912,20,9309.344
"90","GSK90","I Organic Cashew Nuts,100g","I","Organic food","Dry Fruits",312.62,539,22,226.38,72.4137931034483,4980.36
"91","GSK91","S red nailpolish","S","beauty products","nailpolish",401.6,481.92,110,80.32,20,8835.2
"92","GSK92","B sanitary napkins","B","beauty products","bodycare",86,103.2,120,17.2,20,2064
"93","GSK93","N chocolate flavour Oats, 1kg","N","Packed Food","Dry Fruits",317,364.55,346,47.55,15,16452.3
"94","GSK94","Z Dates,100g","Z","Packed Food","Dry Fruits",155,178.25,476,23.25,15,11067
"95","GSK95","G Corn flour,100g","G","foodgrains&spices","corn flour",19,36,150,17,89.4736842105263,2550
"96","GSK96","B bodyspray","B","beauty products","bodycare",387,464.4,180,77.4,20,13932
"97","GSK97","B Toothbrush","B","hygiene","oral care",180.12,237,342,56.88,31.5789473684211,19452.96
"98","GSK98","I strawberry flavour Oats, 1kg","I","Packed Food","Dry Fruits",365,419.75,308,54.75,15,16863
"99","GSK99","B Toothpaste, 100g","B","hygiene","oral care",117.8,155,333,37.2,31.5789473684211,12387.6
"100","GSK100","J Organic Hazel Nuts,100g","J","Packed Food","Dry Fruits",230,264.5,350,34.5,15,12075
"101","GSK101","I Organic Almonds,100g","I","Packed Food","Dry Fruits",155,178.25,476,23.25,15,11067
"102","GSK102","G Chakki attG 1kG","G","foodgrains&spices","grains",45,47.25,560,2.25,5,1260
"103","GSK103","E Fruit juice apple Flavour, 2x1 L Multipack","E","beverage","fruit juice",278.16,366,223,87.84,31.578947368421,19588.32
"104","GSK104","B disinfectant spray,250 ml","B","hygiene","disinfectant",171,225,454,54,31.5789473684211,24516
"105","GSK105","Z Organic Chola Dal, 1kg","Z","Organic food","pulses(dal)",129.92,224,20,94.08,72.4137931034483,1881.6
"106","GSK106","Z Organic Ginger Candies,100g","Z","Organic food","Dry Fruits",273.64,471.8,20,198.16,72.416313404473,3963.2
"107","GSK107","S Moong Dal, 1kg","S","foodgrains&spices","pulses(dal)",63,70,544,7,11.1111111111111,3808
"108","GSK108","Z Organic Raisins,100g","Z","Organic food","Dry Fruits",73.08,126,52,52.92,72.4137931034483,2751.84
"109","GSK109","T Coriander, 100 g","T","foodgrains&spices","Powdered Spices",23.1,35,565,11.9,51.5151515151515,6723.5
"110","GSK110","I Organic Dried Cranberries,100g","I","Organic food","Dry Fruits",288.26,497,90,208.74,72.4137931034483,18786.6
"111","GSK111","A soft drink litchi flavour, 1L","A","beverage","soft drinks",72.2,95,302,22.8,31.578947368421,6885.6
"112","GSK112","G Coriander, 100 g","G","foodgrains&spices","Powdered Spices",25.74,39,561,13.26,51.5151515151515,7438.86
"113","GSK113","Z Organic Matar Dal, 1kg","Z","Organic food","pulses(dal)",81.2,140,22,58.8,72.4137931034483,1293.6
"114","GSK114","I Organic Walnuts,100g","I","Organic food","Dry Fruits",353.22,609,27,255.78,72.4137931034483,6906.06
"115","GSK115","B mosquitto repellent","B","household","repellents",180.12,237,342,56.88,31.5789473684211,19452.96
"116","GSK116","G strawberry flavour Oats, 1kg","G","Packed Food","Dry Fruits",363,417.45,310,54.45,15,16879.5
"117","GSK117","D dishwash bar,100 g","D","household","dishwasher",49.4,65,423,15.6,31.5789473684211,6598.8
"118","GSK118","T Cardamom, 100 g","T","foodgrains&spices","Whole Spices",201.3,305,295,103.7,51.5151515151515,30591.5
"119","GSK119","B soft drink litchi flavour, 1L","B","beverage","soft drinks",117.8,155,222,37.2,31.5789473684211,8258.4
"120","GSK120","Z Organic Channa Dal, 1kg","Z","Organic food","pulses(dal)",89.32,154,62,64.68,72.4137931034483,4010.16
"121","GSK121","T Turmeric, 100 g","T","foodgrains&spices","Powdered Spices",23.1,35,565,11.9,51.5151515151515,6723.5
"122","GSK122","G Organic Turmeric, 100 g","G","Organic food","Powdered Spices",40.6,70,26,29.4,72.4137931034483,764.4
"123","GSK123","Z Organic Dried Cranberries,100g","Z","Packed Food","Dry Fruits",157,180.55,474,23.55,15,11162.7
"124","GSK124","T ChannT Dal, 1kg","T","foodgrains&spices","pulses(dal)",162,180,456,18,11.1111111111111,8208
"125","GSK125","S mosquitto spray","S","household","repellents",218.88,288,311,69.12,31.5789473684211,21496.32
"126","GSK126","N sugar,1kg","N","foodgrains&spices","sugar&salt",66,69.3,300,3.3,5,989.999999999999
"127","GSK127","B Bodywash","B","beauty products","bodycare",203.68,244.416,321,40.736,20,13076.256
"128","GSK128","A red lipstick","A","beauty products","lipstick",537.5,645,18,107.5,20,1935
"129","GSK129","B soft drink orange flavour, 1L","B","beverage","soft drinks",117.8,155,222,37.2,31.5789473684211,8258.4
"130","GSK130","T Kalonji,100 g","T","foodgrains&spices","Whole Spices",36.3,55,545,18.7,51.5151515151515,10191.5
"131","GSK131","B Masks","B","hygiene","mask",200,250,800,50,25,40000
"132","GSK132","B Eyeliner","B","beauty products","eye-makeup",252.2,302.64,221,50.44,20,11147.24
"133","GSK133","I Organic Ginger Candies,100g","I","Packed Food","Dry Fruits",135,155.25,492,20.25,15,9963
"134","GSK134","Z Organic Toor Dal, 1kg","Z","Organic food","pulses(dal)",154.28,266,55,111.72,72.4137931034483,6144.6
"135","GSK135","G Organic Coriander, 100 g","G","Organic food","Powdered Spices",40.6,70,25,29.4,72.4137931034483,735
"136","GSK136","B Hair oil","B","beauty products","haircare",450,540,101,90,20,9090
"137","GSK137","I Cashew Nuts,100g","I","Packed Food","Dry Fruits",153,175.95,478,22.95,15,10970.1
"138","GSK138","A blue nailpolish","A","beauty products","nailpolish",404.9,485.88,111,80.98,20,8988.78
"139","GSK139","B brown lipstick","B","beauty products","lipstick",576.2,691.44,10,115.24,20,1152.4
"140","GSK140","A 3ply mask","A","hygiene","mask",12,15,1100,3,25,3300
"141","GSK141","A soft drink  coke, 1L","A","beverage","soft drinks",72.2,95,302,22.8,31.578947368421,6885.6
"142","GSK142","J Walnuts,100g","J","Packed Food","Dry Fruits",180,207,456,27,15,12312
"143","GSK143","T Soyabean 1kg","T","foodgrains&spices","cereals",216,240,408,24,11.1111111111111,9792
"144","GSK144","S orange lipstick","S","beauty products","lipstick",516,619.2,14,103.2,20,1444.8
"145","GSK145","S Moisturizer","S","beauty products","bodycare",553.84,664.608,81,110.768,20,8972.20799999999
"146","GSK146","J Organic Raisins,100g","J","Organic food","Dry Fruits",77.14,133,52,55.86,72.4137931034483,2904.72
"147","GSK147","S Red chilly powder, 100 g","S","foodgrains&spices","Powdered Spices",33,50,200,17,51.5151515151515,3400
"148","GSK148","D disinfectant spray,250 ml","D","hygiene","disinfectant",171,225,454,54,31.5789473684211,24516
"149","GSK149","B Body oil","B","beauty products","bodycare",548.9,658.68,91,109.78,20,9989.98
"150","GSK150","A deodorant","A","beauty products","bodycare",279.5,335.4,201,55.9,20,11235.9
"151","GSK151","I Organic Dates,100g","I","Organic food","Dry Fruits",272.02,469,20,196.98,72.4137931034483,3939.6
"152","GSK152","G Organic Barley 1kg","G","Organic food","grains",97.44,168,30,70.56,72.4137931034483,2116.8
"153","GSK153","G Organic Tamarind, 100 g","G","Organic food","Whole Spices",48.72,84,70,35.28,72.4137931034483,2469.6
"154","GSK154","G Organic Matar Dal, 1kg","G","Organic food","pulses(dal)",73.08,126,125,52.92,72.4137931034483,6615
"155","GSK155","S Soap","S","beauty products","bodycare",151.24,181.488,301,30.248,20,9104.648
"156","GSK156","S handwash, 750 ml","S","hygiene","handwash",196.08,258,551,61.92,31.578947368421,34117.92
"157","GSK157","G Soyabean 1kG","G","foodgrains&spices","cereals",225,250,400,25,11.1111111111111,10000
"158","GSK158","H Fruit Juice  Litchi, 3x1 L Multipack ","H","beverage","fruit juice",243.96,321,255,77.04,31.5789473684211,19645.2
"159","GSK159","A pink nailpolish","A","beauty products","nailpolish",404.9,485.88,111,80.98,20,8988.78
"160","GSK160","A Aloevera Gel","A","beauty products","bodycare",447.03,536.436,110,89.4060000000001,20,9834.66000000001
"161","GSK161","S jowar, 1kg","S","foodgrains&spices","cereals",63,70,544,7,11.1111111111111,3808
"162","GSK162","Z pet food","Z","pet food","pet food",450,500,200,50,11.1111111111111,10000
"163","GSK163","S Dishwasher Gel 2L","S","household","dishwasher",277.4,365,223,87.6,31.5789473684211,19534.8
"164","GSK164","A orange nailpolish","A","beauty products","nailpolish",404.9,485.88,111,80.98,20,8988.78
"165","GSK165","J Raisins,100g","J","Packed Food","Dry Fruits",40,46,568,6,15,3408
"166","GSK166","S mosquitto repellent","S","household","repellents",218.88,288,311,69.12,31.5789473684211,21496.32
"167","GSK167","G Red chilly, 100 g","G","foodgrains&spices","Whole Spices",19.14,29,571,9.86,51.5151515151515,5630.06
"168","GSK168","T Rajma, 1kg","T","foodgrains&spices","cereals",153,170,464,17,11.1111111111111,7888
"169","GSK169","A sanitary napkins","A","beauty products","bodycare",107.5,129,101,21.5,20,2171.5
"170","GSK170","S baby milk","S","baby product","babycare",480,600,300,120,25,36000
"171","GSK171","G Matar Dal, 1kG","G","foodgrains&spices","pulses(dal)",81,90,528,9,11.1111111111111,4752
"172","GSK172","D Soap","D","beauty products","bodycare",95,114,353,19,20,6707
"173","GSK173","E handwash, 750 ml","E","hygiene","handwash",194.56,256,555,61.44,31.5789473684211,34099.2
"174","GSK174","A Moisturizer","A","beauty products","bodycare",555.82,666.984,82,111.164,20,9115.448
"175","GSK175","I Apricots,100g","I","Packed Food","Dry Fruits",133,152.95,494,19.95,15,9855.29999999999
"176","GSK176","Z Organic Cumin, 100 g","Z","Organic food","Whole Spices",73.08,126,52,52.92,72.4137931034483,2751.84
"177","GSK177","S green nailpolish","S","beauty products","nailpolish",401.6,481.92,110,80.32,20,8835.2
"178","GSK178","A beauty Powder","A","beauty products","bodycare",193.5,232.2,101,38.7,20,3908.7
"179","GSK179","S Red chilly, 100 g","S","foodgrains&spices","Whole Spices",13.2,20,580,6.8,51.5151515151515,3944
"180","GSK180","J Organic Dried Cranberries,100g","J","Organic food","Dry Fruits",284.2,490,55,205.8,72.4137931034483,11319
